Latitude,Longitude,ВСЬОГО,ТЯЖКІ ТА О.ТЯЖКІ,ВБИВСТВО,УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ,ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.,ЗГВАЛТУВАННЯ,КРАДІЖКА,ГРАБІЖ,РОЗБІЙ,ВИМАГАННЯ,ШАХРАЙСТВО,ЗАВОЛОД Т/З,ХУЛІГАНСТВО
50.468774,30.620014,7,1,0,0,0,0,5,1,0,0,1,0,0
50.465748,30.469051,2,1,0,0,0,0,1,0,0,0,0,0,0
50.465089,30.468187,1,0,0,0,0,0,0,0,0,0,0,0,0
50.465158,30.469897,1,0,0,0,0,0,0,0,0,0,0,0,0
50.464493,30.467519,4,1,0,0,0,0,1,0,0,0,2,0,0
50.464953,30.469163,1,0,0,0,0,0,0,0,0,0,0,0,0
50.463615,30.466561,1,0,0,0,0,0,0,0,0,0,0,0,0
50.464096,30.468156,2,0,0,0,0,0,1,0,0,0,0,0,0
50.4662307,30.4701583,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4271282,30.5102652,1,0,0,0,0,0,1,0,0,0,0,0,0
50.42732,30.510534,1,0,0,0,0,0,1,0,0,0,0,0,0
50.407128,30.48786,1,0,0,0,0,0,0,0,0,0,0,0,0
50.406172,30.487486,1,1,0,0,0,0,1,0,0,0,0,0,0
50.426879,30.5806379,4,0,0,0,0,0,1,0,0,0,0,0,0
50.386818,30.709291,1,1,0,0,0,0,1,0,0,0,0,0,0
50.440341,30.5504471,1,0,0,0,0,0,0,0,0,0,0,0,0
50.440341,30.5504471,5,1,0,0,0,0,2,1,0,0,1,0,0
50.4428406,30.623664,12,0,0,0,0,0,9,0,0,0,1,0,0
50.443078,30.623892,2,0,0,0,0,0,1,0,0,0,1,0,0
50.443367,30.622755,6,0,0,0,0,0,2,1,0,0,2,0,0
50.4430703,30.6226276,7,1,0,0,0,0,1,1,0,0,0,0,0
50.443681,30.621644,7,0,0,0,0,0,2,1,0,0,3,0,0
50.443255,30.621144,2,1,0,0,0,0,1,0,0,0,0,1,0
50.4439888,30.619411,2,0,0,0,0,0,1,0,0,0,0,0,0
50.443746,30.61925,4,3,0,0,0,0,1,0,2,0,0,0,0
50.441266,30.546907,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4501,30.5234,1,1,0,0,0,0,0,1,0,0,0,0,0
50.4565136,30.5045056,5,1,0,0,0,0,3,0,0,0,1,0,0
50.45583,30.503603,1,0,0,0,0,0,1,0,0,0,0,0,0
50.456473,30.502703,2,0,0,0,0,0,1,0,0,0,0,0,0
50.455922,30.502894,15,0,0,0,0,0,1,0,0,0,3,0,0
50.456148,30.5030385,1,0,0,0,0,0,1,0,0,0,0,0,0
50.456624,30.499986,1,0,0,0,0,0,0,0,0,0,1,0,0
50.456247,30.501735,1,0,0,0,0,0,0,0,0,0,0,0,0
50.456567,30.499216,1,0,0,0,0,0,1,0,0,0,0,0,0
50.456082,30.497819,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4563115,30.4970603,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4562165,30.4970673,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4562956,30.4965332,2,0,0,0,0,0,2,0,0,0,0,0,0
50.456631,30.49472,1,0,0,0,0,0,1,0,0,0,0,0,0
50.456629,30.494069,2,2,0,0,0,0,1,0,0,0,1,0,0
50.45605,30.495415,1,0,0,0,0,0,0,0,0,0,1,0,0
50.456514,30.492886,1,0,0,0,0,0,0,0,0,0,0,0,0
50.456424,30.492192,2,0,0,0,0,0,2,0,0,0,0,0,0
50.4562654,30.4920992,6,0,0,0,0,0,5,0,0,0,0,0,0
50.45602,30.494074,1,0,0,0,0,0,0,0,0,0,0,0,0
50.455922,30.493698,2,0,0,0,0,0,2,0,0,0,0,0,0
50.456775,30.490001,1,0,0,0,0,0,0,0,0,0,1,0,0
50.455655,30.490724,1,0,0,0,0,0,1,0,0,0,0,0,0
50.45745,30.488142,1,1,0,0,0,0,1,0,0,0,0,0,0
50.45631,30.489585,1,0,0,0,0,0,1,0,0,0,0,0,0
50.457607,30.487912,2,1,0,0,0,0,0,1,0,0,1,0,0
50.456695,30.488477,4,0,0,0,0,0,0,0,0,0,0,0,0
50.457104,30.48773,2,1,0,0,0,0,1,0,0,0,1,0,0
50.4572901,30.487968,2,0,0,0,0,0,2,0,0,0,0,0,0
50.4584824,30.486594,1,0,0,0,0,0,1,0,0,0,0,0,0
50.458609,30.486896,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4587615,30.4862832,1,0,0,0,0,0,0,1,0,0,0,0,0
50.459026,30.485579,3,0,0,0,0,0,2,1,0,0,0,0,0
50.459345,30.485029,15,5,0,0,0,0,4,1,0,0,4,0,0
50.453613,30.616831,3,0,0,0,0,0,2,1,0,0,0,0,0
50.454432,30.616676,4,0,0,0,0,0,3,0,0,0,0,0,1
50.463671,30.412238,1,1,0,0,0,0,0,0,0,0,0,0,0
50.463464,30.41261,75,6,0,0,0,0,23,2,0,0,25,0,0
50.46378,30.41343,1,0,0,0,0,0,1,0,0,0,0,0,0
50.517647,30.620798,1,0,0,0,0,0,0,0,0,0,0,0,0
50.421993,30.5148622,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4279262,30.5110724,1,1,0,0,0,0,0,0,0,0,0,0,0
50.429809,30.50964,2,1,0,0,0,0,1,0,0,0,1,0,0
50.4279262,30.5110724,1,1,0,0,0,0,1,0,0,0,0,0,0
50.428594,30.51023,1,0,0,0,0,0,1,0,0,0,0,0,0
50.447445,30.464361,1,0,0,0,0,0,1,0,0,0,0,0,0
50.447415,30.465809,1,1,0,0,0,0,0,0,0,0,1,0,0
50.3899486,30.6249943,1,0,0,0,0,0,1,0,0,0,0,0,0
50.3899486,30.6249943,1,0,0,0,0,0,1,0,0,0,0,0,0
50.422451,30.5511811,1,0,0,0,0,0,1,0,0,0,0,0,0
50.421983,30.549306,1,1,0,0,0,0,1,0,0,0,0,0,0
50.422836,30.551038,4,0,0,0,0,0,3,0,0,0,0,0,0
50.414696,30.49598,2,0,0,0,0,0,1,0,0,0,1,0,0
50.469498,30.471715,1,0,0,0,0,0,0,0,0,0,1,0,0
50.4665052,30.474663,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4665052,30.474663,1,0,0,0,0,0,0,0,0,0,0,0,0
50.46691,30.475877,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4690733,30.4724915,3,1,0,0,0,0,0,0,0,0,3,0,0
50.4696909,30.4719301,2,0,0,0,0,0,0,0,0,0,0,0,0
50.469498,30.471715,1671,354,0,1,0,0,233,21,0,3,515,2,10
50.469498,30.471715,1,1,0,0,0,0,0,0,0,0,0,0,0
50.354178,30.691768,1,0,0,0,0,0,0,0,0,0,0,0,0
50.3516746,30.6935025,1,1,0,0,0,0,1,0,0,0,0,0,0
50.394889,30.632702,1,0,0,0,0,0,0,0,0,0,0,0,0
50.395903,30.63243,3,0,0,0,0,0,1,0,0,0,1,0,0
50.39486,30.63172,2,0,0,0,0,0,2,0,0,0,0,0,0
50.394784,30.630951,1,0,0,0,0,0,1,0,0,0,0,0,0
50.395394,30.631474,1,0,0,0,0,0,1,0,0,0,0,0,0
50.442307,30.525281,2,1,0,0,0,0,2,0,0,0,0,0,0
50.44227,30.524652,1,0,0,0,0,0,0,1,0,0,0,0,0
50.441879,30.52472,1,0,0,0,0,0,0,0,0,0,0,0,0
50.441444,30.525908,1,0,0,0,0,0,0,0,0,0,0,0,0
50.386629,30.697021,2,1,0,0,0,0,1,1,0,0,0,0,0
50.491817,30.4922959,1,0,0,0,0,0,1,0,0,0,0,0,0
50.386872,30.376368,1,0,0,0,0,0,0,0,0,0,0,0,0
50.387411,30.376445,1,0,0,0,0,0,1,0,0,0,0,0,0
50.414519,30.38346,2,1,0,0,0,0,2,0,0,0,0,0,0
50.414535,30.382681,3,0,0,0,0,0,2,1,0,0,0,0,0
50.414858,30.381746,3,0,0,0,0,0,0,2,0,0,0,0,0
50.415277,30.380766,2,1,0,0,0,0,1,1,0,0,0,0,0
50.415883,30.379807,2,0,0,0,0,0,2,0,0,0,0,0,0
50.416545,30.379766,1,0,0,0,0,0,0,0,0,0,1,0,0
50.416922,30.378664,5,0,0,0,0,0,3,1,0,0,1,0,0
50.417606,30.3781,3,1,0,0,0,0,2,0,0,0,0,0,0
50.418362,30.376233,3,1,0,0,0,0,2,0,0,0,0,0,0
50.420742,30.372834,10,1,0,0,0,0,3,2,0,0,3,0,0
50.421416,30.371475,2,0,0,0,0,0,0,0,0,0,0,1,0
50.422843,30.37223,9,0,0,0,0,0,5,1,0,0,1,0,0
50.422989,30.3710364,8,2,0,0,0,0,7,0,0,0,1,0,0
50.4235076,30.3705986,6,1,0,0,0,0,6,0,0,0,0,0,0
50.424011,30.37012,3,0,0,0,0,0,3,0,0,0,0,0,0
50.4239815,30.3687055,1,0,0,0,0,0,1,0,0,0,0,0,0
50.426064,30.368396,9,2,0,0,0,0,5,0,0,0,1,0,1
50.4265793,30.3673088,9,0,0,0,0,0,5,0,0,0,3,0,0
50.426924,30.368855,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4272846,30.366791,7,0,0,0,0,0,5,0,0,0,2,0,0
50.4280483,30.3662999,8,1,0,0,0,0,7,1,0,0,0,0,0
50.428603,30.366242,6,0,0,0,0,0,4,0,0,0,1,0,0
50.429122,30.365876,6,1,0,0,0,0,2,0,0,1,3,0,0
50.430368,30.364299,5,1,0,0,0,0,1,1,0,0,1,0,0
50.431304,30.36415,4,0,0,0,0,0,4,0,0,0,0,0,0
50.432339,30.362561,9,0,0,0,0,0,4,2,0,0,2,0,1
50.433714,30.362025,6,3,0,1,1,0,3,1,0,0,0,0,0
50.434569,30.361807,1,0,0,0,0,0,1,0,0,0,0,0,0
50.435471,30.361382,3,1,0,0,0,0,3,0,0,0,0,0,0
50.436699,30.361294,2,1,0,0,0,0,0,1,0,0,0,0,1
50.437687,30.36105,7,0,0,0,0,0,5,0,0,0,2,0,0
50.438693,30.360811,3,1,0,0,0,0,0,0,0,0,1,0,0
50.439253,30.360464,1,0,0,0,0,0,1,0,0,0,0,0,0
50.439546,30.361019,1,0,0,0,0,0,1,0,0,0,0,0,0
50.439864,30.360758,4,2,0,0,0,0,3,0,0,0,1,0,0
50.4394124,30.3601993,1,0,0,0,0,0,1,0,0,0,0,0,0
50.0470287,36.3499671,2,0,0,0,0,0,1,1,0,0,0,0,0
50.42747,30.650377,1,0,0,0,0,0,0,1,0,0,0,0,0
50.4257846,30.6509576,1,0,0,0,0,0,1,0,0,0,0,0,0
50.425319,30.650866,3,0,0,0,0,0,2,0,0,0,1,0,0
50.424024,30.651661,1,0,0,0,0,0,1,0,0,0,0,0,0
50.427387,30.6500445,1,0,0,0,0,0,1,0,0,0,0,0,0
50.51364,30.588213,1,0,0,0,0,0,1,0,0,0,0,0,0
50.51729,30.589125,1,0,0,0,0,0,0,0,0,0,0,0,0
50.517879,30.590719,1,0,0,0,0,0,0,0,0,0,1,0,0
50.519124,30.591008,1,0,0,0,0,0,0,1,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4186454,30.5288548,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4176364,30.5263975,3,1,0,0,0,0,3,0,0,0,0,0,0
50.418652,30.526834,5,1,0,0,0,0,3,1,0,0,0,0,0
50.419062,30.528589,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4501,30.5234,1,1,0,0,0,0,0,0,1,0,0,0,0
49.986118,36.212253,1,0,0,0,0,0,1,0,0,0,0,0,0
50.491822,30.615827,4,1,0,0,0,0,4,0,0,0,0,0,0
50.491673,30.616411,2,0,0,0,0,0,2,0,0,0,0,0,0
50.492579,30.615059,13,1,0,0,0,0,6,1,0,0,1,0,0
50.4298375,30.6485416,1,0,0,0,0,0,1,0,0,0,0,0,0
50.3385377,30.5253034,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4671602,30.3511621,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4352151,30.4712124,4,0,0,0,0,0,3,0,0,0,0,0,1
50.435266,30.469954,1,0,0,0,0,0,1,0,0,0,0,0,0
50.391763,30.696494,1,0,0,0,0,0,1,0,0,0,0,0,0
50.390139,30.694601,1,1,0,0,0,0,1,0,0,0,0,0,0
50.38971,30.69363,2,0,0,0,0,0,0,0,0,0,0,0,0
50.388068,30.691699,1,0,0,0,0,0,1,0,0,0,0,0,0
50.391701,30.454516,1,0,0,0,0,0,0,0,0,0,1,0,0
