Connect;ВСЬОГО;ТЯЖКІ ТА О.ТЯЖКІ;ВБИВСТВО;УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ;ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.;ЗГВАЛТУВАННЯ;КРАДІЖКА;ГРАБІЖ;РОЗБІЙ;ВИМАГАННЯ;ШАХРАЙСТВО;ЗАВОЛОД Т/З;ХУЛІГАНСТВО
Киев УЛ. АРТЕМА 14;2;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 15;15;0;0;0;0;0;1;0;0;0;3;0;0
Киев УЛ. АРТЕМА 16;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 20;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. АРТЕМА 21;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. АРТЕМА 24;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 35;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 36;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 37;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 40;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. АРТЕМА 42;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 44;2;2;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. АРТЕМА 47;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. АРТЕМА 48;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. АРТЕМА 50;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. АРТЕМА 52;6;0;0;0;0;0;5;0;0;0;0;0;0
Киев УЛ. АРТЕМА 53;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. АРТЕМА 55;2;0;0;0;0;0;2;0;0;0;0;0;0
